,Date,month,year,Block,NumMosquitos,Species_CULEX_PIPIENS,Species_CULEX_RESTUANS,Species_CULEX_PIPIENS_RESTUANS,Tmax_Station,Tmin_Station,Tavg_Station,Depart_Station,DewPoint_Station,WetBulb_Station,PrecipTotal_Station,StnPressure_Station,SeaLevel_Station,ResultSpeed_Station,rel_hum_station,MA_30_Tavg_Station,MA_30_PrecipTotal_Station,MA_30_rel_hum_station,Latitude,Longitude,WnvPresent
0,5/29/07,5,2007,62,1,0,1,0,88,60,74,10,58,65.0,30.11,5.8,18.0,6.5,61.60010252,0.0,0.0,0.0,41.867108,-87.654224,0
1,5/29/07,5,2007,41,1,0,0,1,88,60,74,10,58,65.0,30.11,5.8,18.0,6.5,61.60010252,0.0,0.0,0.0,41.867108,-87.654224,0
2,5/29/07,5,2007,41,1,0,1,0,88,60,74,10,58,65.0,30.11,5.8,18.0,6.5,61.60010252,0.0,0.0,0.0,41.862292,-87.64886,0
3,5/29/07,5,2007,79,4,0,1,0,88,60,74,10,58,65.0,30.11,5.8,18.0,6.5,61.60010252,0.0,0.0,0.0,41.896282,-87.655232,0
4,5/29/07,5,2007,65,1,0,0,1,88,60,74,10,58,65.0,30.11,5.8,18.0,6.5,61.60010252,0.0,0.0,0.0,41.907645,-87.760886,0
5,5/29/07,5,2007,75,1,0,0,1,88,60,74,10,58,65.0,30.11,5.8,18.0,6.5,61.60010252,0.0,0.0,0.0,41.9216,-87.666455,0
6,5/29/07,5,2007,79,1,0,0,1,88,60,74,10,58,65.0,30.11,5.8,18.0,6.5,61.60010252,0.0,0.0,0.0,41.720848,-87.666014,0
7,5/29/07,5,2007,11,1,0,0,1,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.919343,-87.694259,0
8,5/29/07,5,2007,11,2,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.921965,-87.632085,0
9,5/29/07,5,2007,11,1,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.921965,-87.632085,0
10,5/29/07,5,2007,11,1,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.688324,-87.676709,0
11,5/29/07,5,2007,15,1,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.688324,-87.676709,0
12,5/29/07,5,2007,15,2,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.731922,-87.677512,0
13,5/29/07,5,2007,17,3,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.731922,-87.677512,0
14,5/29/07,5,2007,21,1,0,0,1,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.891118,-87.65449100000001,0
15,5/29/07,5,2007,22,2,0,0,1,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.732984,-87.649642,0
16,5/29/07,5,2007,22,3,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.891126,-87.61156,0
17,5/29/07,5,2007,22,1,0,0,1,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.891126,-87.61156,0
18,5/29/07,5,2007,22,1,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.95469,-87.800991,0
19,5/29/07,5,2007,22,1,1,0,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.95469,-87.800991,0
20,5/29/07,5,2007,22,5,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.994991,-87.769279,0
21,5/29/07,5,2007,25,1,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.999128999999996,-87.795585,0
22,5/29/07,5,2007,53,1,0,0,1,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,42.01743,-87.68776899999999,0
23,5/29/07,5,2007,53,2,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.974089,-87.824812,0
24,5/29/07,5,2007,89,1,0,1,0,88,65,77,10,59,66.0,0.0,29.44,30.09,5.8,55.68829305,0.0,0.0,0.0,41.974089,-87.824812,0
25,6/5/07,6,2007,37,1,0,1,0,64,47,56,-9,48,51.0,29.79,5.2,5.0,7.6,70.975911,69.0,30.0185,58.5096472,41.867108,-87.654224,0
26,6/5/07,6,2007,42,2,0,1,0,64,47,56,-9,48,51.0,29.79,5.2,5.0,7.6,70.975911,69.0,30.0185,58.5096472,41.867108,-87.654224,0
27,6/5/07,6,2007,15,1,0,0,1,64,47,56,-9,48,51.0,29.79,5.2,5.0,7.6,70.975911,69.0,30.0185,58.5096472,41.867108,-87.654224,0
28,6/5/07,6,2007,41,5,0,1,0,64,47,56,-9,48,51.0,29.79,5.2,5.0,7.6,70.975911,69.0,30.0185,58.5096472,41.869215999999994,-87.627561,0
