,Station_Station1,WeatherLat_Station1,WeatherLon_Station1,Date,Tmax_Station1,Tmin_Station1,Tavg_Station1,Depart_Station1,DewPoint_Station1,WetBulb_Station1,Heat_Station1,Cool_Station1,Sunrise_Station1,Sunset_Station1,CodeSum_Station1,PrecipTotal_Station1,StnPressure_Station1,SeaLevel_Station1,ResultSpeed_Station1,ResultDir_Station1,AvgSpeed_Station1,sunrise_new_Station1,sunrise_new1_Station1,sunset_new_Station1,sunset_new1_Station1,Station_Station2,WeatherLat_Station2,WeatherLon_Station2,Tmax_Station2,Tmin_Station2,Tavg_Station2,Depart_Station2,DewPoint_Station2,WetBulb_Station2,Heat_Station2,Cool_Station2,Sunrise_Station2,Sunset_Station2,CodeSum_Station2,PrecipTotal_Station2,StnPressure_Station2,SeaLevel_Station2,ResultSpeed_Station2,ResultDir_Station2,AvgSpeed_Station2,sunrise_new_Station2,sunrise_new1_Station2,sunset_new_Station2,sunset_new1_Station2,WetBulb_Station1_c,Tavg_Station1_c,WetBulb_Station2_c,Tavg_Station2_c,rel_hum_station1,rel_hum_station2,DZ1,FG1,VCFG1,GR1,BR1,TS1,SQ1,BCFG1,SN1,HZ1,TSRA1,VCTS1,FG+1,RA1,NO EVENT1,FU1,DZ2,FG2,VCFG2,GR2,BR2,TS2,SQ2,BCFG2,SN2,HZ2,TSRA2,VCTS2,FG+2,RA2,NO EVENT2,FU2
0,1,41.995,-87.933,2007-05-01,83,50,67,14,51,56.0,0, 2,0448,1849,NO EVENT,0.0,29.1,29.82,1.7,27,9.2,0448,04:48:00,1849,18:49:00,2,41.786,-87.752,84,52,68,14,51,57.0,0, 3,-,-,NO EVENT,0.0,29.18,29.82,2.7,25,9.6,0000,00:00:00,0000,00:00:00,13.333333333333332,19.444444444444443,13.88888888888889,20.0,49.384724497651156,50.10990469676314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,41.995,-87.933,2007-05-02,59,42,51,-3,42,47.0,14, 0,0447,1850,BR,0.0,29.38,30.09,13.0,4,13.4,0447,04:47:00,1850,18:50:00,2,41.786,-87.752,60,43,52,-3,42,47.0,13, 0,-,-,BR HZ,0.0,29.44,30.08,13.3,2,13.4,0000,00:00:00,0000,00:00:00,8.333333333333334,10.555555555555555,8.333333333333334,11.11111111111111,74.34055940563248,68.80620449019233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,1,41.995,-87.933,2007-05-03,66,46,56, 2,40,48.0,9, 0,0446,1851,NO EVENT,0.0,29.39,30.12,11.7,7,11.9,0446,04:46:00,1851,18:51:00,2,41.786,-87.752,67,48,58, 2,40,50.0,7, 0,-,-,HZ,0.0,29.46,30.12,12.9,6,13.2,0000,00:00:00,0000,00:00:00,8.88888888888889,13.333333333333332,10.0,14.444444444444445,54.82936210760987,56.36479128358225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,1,41.995,-87.933,2007-05-04,66,49,58, 4,41,50.0,7, 0,0444,1852,RA,0.0,29.31,30.05,10.4,8,10.8,0444,04:44:00,1852,18:52:00,2,41.786,-87.752,78,51,64, 4,42,50.0,7, 0,-,-,NO EVENT,0.0,29.36,30.04,10.1,7,10.4,0000,00:00:00,0000,00:00:00,10.0,14.444444444444445,10.0,17.77777777777778,56.36479128358225,34.48078567421236,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,41.995,-87.933,2007-05-05,66,53,60, 5,38,49.0,5, 0,0443,1853,NO EVENT,0.0,29.4,30.1,11.7,7,12.0,0443,04:43:00,1853,18:53:00,2,41.786,-87.752,66,54,60, 5,39,50.0,5, 0,-,-,NO EVENT,0.0,29.46,30.09,11.2,7,11.5,0000,00:00:00,0000,00:00:00,9.444444444444445,15.555555555555555,10.0,15.555555555555555,43.56375786887361,48.21952083352611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,41.995,-87.933,2007-05-06,68,49,59, 4,30,46.0,6, 0,0442,1855,NO EVENT,0.0,29.57,30.29,14.4,11,15.0,0442,04:42:00,1855,18:55:00,2,41.786,-87.752,68,52,60, 4,30,46.0,5, 0,-,-,NO EVENT,0.0,29.62,30.28,13.8,10,14.5,0000,00:00:00,0000,00:00:00,7.777777777777778,15.0,7.777777777777778,15.555555555555555,33.390184786926646,30.09771167182483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,41.995,-87.933,2007-05-07,83,47,65,10,41,54.0,0, 0,0441,1856,RA,0.0,29.38,30.12,8.6,18,10.5,0441,04:41:00,1856,18:56:00,2,41.786,-87.752,84,50,67,10,39,53.0,0, 2,-,-,NO EVENT,0.0,29.44,30.12,8.5,17,9.9,0000,00:00:00,0000,00:00:00,12.222222222222223,18.333333333333332,11.666666666666668,19.444444444444443,47.86014009231913,37.39468457588442,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,41.995,-87.933,2007-05-08,82,54,68,12,58,62.0,0, 3,0439,1857,BR,0.0,29.29,30.03,2.7,11,5.8,0439,04:39:00,1857,18:57:00,2,41.786,-87.752,80,60,70,12,57,63.0,0, 5,-,-,HZ,0.0,29.36,30.02,2.5,8,5.4,0000,00:00:00,0000,00:00:00,16.666666666666668,20.0,17.22222222222222,21.11111111111111,71.41198520671477,67.87971694291606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,1,41.995,-87.933,2007-05-09,77,61,69,13,59,63.0,0, 4,0438,1858,BR HZ,0.13,29.21,29.94,3.9,9,6.2,0438,04:38:00,1858,18:58:00,2,41.786,-87.752,76,63,70,13,60,63.0,0, 5,-,-,BR HZ,0.02,29.28,29.93,3.9,7,5.9,0000,00:00:00,0000,00:00:00,17.22222222222222,20.555555555555554,17.22222222222222,21.11111111111111,71.80662510585528,67.87971694291606,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9,1,41.995,-87.933,2007-05-10,84,56,70,14,52,60.0,0, 5,0437,1859,BR,0.0,29.2,29.92,0.7,17,4.1,0437,04:37:00,1859,18:59:00,2,41.786,-87.752,83,59,71,14,52,61.0,0, 6,-,-,BR HZ,0.0,29.26,29.91,2.0,9,3.9,0000,00:00:00,0000,00:00:00,15.555555555555555,21.11111111111111,16.11111111111111,21.666666666666664,55.465315050646666,56.066938079237794,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10,1,41.995,-87.933,2007-05-11,70,51,61, 4,42,51.0,4, 0,0436,1860,NO EVENT,0.0,29.33,30.04,11.3,3,12.9,0436,04:36:00,1900,19:00:00,2,41.786,-87.752,73,49,61, 4,44,51.0,4, 0,-,-,NO EVENT,0.0,29.39,30.03,11.7,36,12.8,0000,00:00:00,0000,00:00:00,10.555555555555555,16.11111111111111,10.555555555555555,16.11111111111111,49.05960133748304,49.05960133748304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
